,taxon_oid,Domain,Status,Study Name,Genome Name,Sequencing Center,IMG Genome ID ,Phylum,Class,Order,Family,Genus,Species,High Quality,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Habitat,Isolation,Type Strain,Uncultured Type,Genome Size   * assembled,Gene Count   * assembled,pfam00072,pfam00183,pfam00204,pfam00512,pfam02518,pfam07536,pfam07568,pfam07730,pfam13581,pfam13589,pfam13941,pfam14501,hamp_hk,ratio,hybrid,percent_hybrid
803,2507262011,Bacteria,Finished,Genome sequencing of marine Synechococcus sp.,Synechococcus sp. KORDI-49 (genome sequencing),Korea Institute of Ocean Science and Technology (KIOST),2507262011,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-49,Yes,Environmental,Aquatic,Marginal Sea,Marine,"Aquatic, Marine","Seawater, East China Sea",No,,2585813,2717,12,1,1,6,8,0,0,0,1,1,0,0,8,1.5,23,
804,2507262012,Bacteria,Finished,Genome sequencing of marine Synechococcus sp.,Synechococcus sp. KORDI-52 (genome sequencing),Korea Institute of Ocean Science and Technology (KIOST),2507262012,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-52,Yes,Environmental,Aquatic,Marginal Sea,Marine,"Aquatic, Marine","Seawater, East China Sea",No,,2572069,2823,11,1,1,7,9,0,0,0,1,1,0,0,9,1.222222222,7,77.77777778
805,2585428034,Bacteria,Permanent Draft,TUAT cyanobacteria genome sequencing,Synechococcus sp. NKBG 042902,Tokyo University Agriculuture and Technology,2585428034,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. NKBG042902,Yes,Environmental,Aquatic,Pelagic,Marine,,,Unknown,,3319479,3309,52,1,1,30,34,0,0,0,3,2,0,0,37,1.405405405,52,
806,2579778681,Bacteria,Permanent Draft,Synechococcus sp. NKBG15041c,Synechococcus sp. NKBG15041c,Tokyo University of Agriculture and Technology,2579778681,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. NKBG15041c,Yes,Environmental,Aquatic,Pelagic,Marine,,,Unknown,,3180043,3106,57,1,1,33,38,0,0,0,3,2,0,0,41,1.390243902,12,29.26829268
1260,2708742537,Bacteria,Permanent Draft,"Marine cyanobacterial communities from the University of California, Santa Cruz, USA, analyzing cyanobacterial DNA methylation",Synechococcus sp. OG1,DOE Joint Genome Institute (JGI),2708742537,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. OG1,Yes,,,,,,,,,3433936,3344,51,1,1,29,34,0,0,0,3,2,0,0,37,1.378378378,15,40.54054054
957,2509276030,Bacteria,Finished,GEBA-PCC,Synechococcus sp. PCC 6312,DOE Joint Genome Institute (JGI),2509276030,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 6312,Yes,Environmental,Aquatic,Unclassified,Freshwater,Aquatic,"Fresh water, California, USA., 1963",No,,3720499,3794,46,1,1,24,28,0,0,1,3,2,0,0,31,1.483870968,35,
534,641522654,Bacteria,Finished,Synechococcus sp. PCC 7002,Synechococcus sp. PCC 7002,Pennsylvania State University,641522654,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7002,Yes,Environmental,Aquatic,Unclassified,Sediment,"Host, Marine, Mud",1961 from a mud sample that came from the fish pens from Magueyes Island in Puerto Rico,Unknown,,3409935,3237,51,1,1,29,34,0,0,0,3,2,0,0,37,1.378378378,6,16.21621622
1261,2504643000,Bacteria,Permanent Draft,Synechococcus sp. PCC 7003,Synechococcus sp. PCC 7003,,2504643000,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7003,Yes,,,,,,,Unknown,,3812968,3344,49,1,1,29,34,0,0,0,2,2,0,0,36,1.361111111,71,
1262,2504643001,Bacteria,Permanent Draft,Synechococcus sp. PCC 7117,Synechococcus sp. PCC 7117,,2504643001,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7117,Yes,,,,,,,Unknown,,3929890,3453,47,1,1,28,33,0,0,0,2,2,0,0,35,1.342857143,30,85.71428571
807,2504643003,Bacteria,Permanent Draft,Synechococcus sp. PCC 73109,Synechococcus sp. PCC 73109,,2504643003,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 73109,Yes,Environmental,Aquatic,Pelagic,Marine,,,Unknown,,3674393,3352,50,1,1,29,33,0,0,0,2,2,0,0,35,1.428571429,64,
149,647533236,Bacteria,Permanent Draft,Synechococcus sp. PCC 7335,Synechococcus sp. PCC 7335,"Institut Pasteur, J. Craig Venter Institute (JCVI)",647533236,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7335,Yes,Host-associated,Mollusca,Unclassified,Unclassified,Marine,"Snail shell, intertidal zone, Puerto Penasco, Mexico",Unknown,,5973558,5626,94,1,1,69,77,0,1,6,3,3,0,0,82,1.146341463,4,4.87804878
1146,2506520048,Bacteria,Permanent Draft,GEBA-PCC,Synechococcus sp. PCC 7336,DOE Joint Genome Institute (JGI),2506520048,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7336,Yes,Environmental,Aquatic,Unclassified,Aquaculture,"Aquatic, Marine","Sea water, tank, Berkeley, California, USA, 1971",Unknown,,5140668,4768,71,1,1,40,51,0,0,1,1,2,0,0,52,1.365384615,4,7.692307692
958,2508501041,Bacteria,Finished,GEBA-PCC,Synechococcus sp. PCC 7502,DOE Joint Genome Institute (JGI),2508501041,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7502,Yes,Environmental,Aquatic,Wetlands,Freshwater,,Sphagnum bog,Unknown,,3583735,3669,72,1,1,39,50,0,3,1,6,2,0,0,59,1.220338983,4,6.779661017
808,2504643002,Bacteria,Permanent Draft,Synechococcus sp. PCC 8807,Synechococcus sp. PCC 8807,,2504643002,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 8807,Yes,Environmental,Aquatic,Pelagic,Marine,,,Unknown,,3632845,3293,50,1,1,29,33,0,0,0,3,2,0,0,36,1.388888889,24,66.66666667
809,640427148,Bacteria,Finished,Synechococcus sp. RCC 307,Synechococcus sp. RCC307,"CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography",640427148,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RCC307,Yes,Environmental,Aquatic,Pelagic,Marine,"Aquatic, Marine",Seawater from the Mediterranean Sea,No,,2224914,2588,11,1,1,6,9,0,0,0,1,1,0,0,9,1.222222222,104,
810,639857007,Bacteria,Permanent Draft,Synechococcus sp. RS9916,Synechococcus sp. RS9916,J. Craig Venter Institute (JCVI),639857007,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RS9916,Yes,Environmental,Aquatic,Marginal Sea,Marine,"Aquatic, Marine, Red Sea",Eliat Red Sea,Unknown,,2664465,3010,12,1,1,7,10,0,0,0,1,1,0,0,10,1.2,46,
811,638341213,Bacteria,Permanent Draft,Synechococcus sp. RS9917,Synechococcus sp. RS9917,J. Craig Venter Institute (JCVI),638341213,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RS9917,Yes,Environmental,Aquatic,Marginal Sea,Marine,"Aquatic, Fresh water, Marine",Eliat in the Red Sea,Unknown,,2579542,2822,15,1,1,9,11,0,0,0,1,1,0,0,11,1.363636364,64,
1263,2718218441,Bacteria,Finished,Synechococcus sp. SynAce01 Genome sequencing,Synechococcus sp. SynAce01,Peking University,2718218441,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. SynAce01,Yes,,,,,,,,,2750634,2950,14,1,1,8,10,0,0,0,1,1,0,0,10,1.4,2,20
1264,2630968581,Bacteria,Finished,Synechococcus sp. UTEX 2973,Synechococcus sp. UTEX 2973,Washington University,2630968581,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. UTEX 2973,Yes,,,,,,,Unknown,,2744626,2785,24,1,1,14,16,0,0,0,1,2,0,0,17,1.411764706,29,
812,2507262052,Bacteria,Permanent Draft,Synechococcus genomes and the evolution of genome size,Synechococcus sp. WH 8016,DOE Joint Genome Institute (JGI),2507262052,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8016,Yes,Environmental,Aquatic,Intertidal zone,Marine,Marine,"Woods Hole, MA",No,,2706690,3046,14,1,1,5,10,0,0,0,1,1,0,0,10,1.4,2,20
1265,2645727663,Bacteria,Finished,Synechococcus sp. WH 8020 Genome sequencing,Synechococcus sp. WH 8020,University of Rhode Island,2645727663,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8020,Yes,,,,,,,,,2661066,2970,13,1,1,7,10,0,0,0,1,1,0,0,10,1.3,2,20
1266,2687453380,Bacteria,Finished,Complete genome of the marine Synechococcus sp. WH8103 strain sequenced using Illumina technology,Synechococcus sp. WH 8103 WH8103,STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,2687453380,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8103,Yes,,,,,,,,,2429688,2751,10,1,1,5,7,0,0,0,1,1,0,0,7,1.428571429,12,
813,638341214,Bacteria,Permanent Draft,Synechococcus sp. WH5701,Synechococcus sp. WH5701,J. Craig Venter Institute (JCVI),638341214,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 5701,Yes,Environmental,Aquatic,Pelagic,Marine,Marine,Long Island Sound,Unknown,,3043834,3403,13,1,1,8,9,0,0,0,2,1,0,0,10,1.3,19,
814,640427149,Bacteria,Finished,Prochlorococcus sp. WH 7803,Synechococcus sp. WH7803,"CEA Genoscope, Institut Pasteur, Roscoff Center for Oceanography",640427149,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803,Yes,Environmental,Aquatic,Pelagic,Marine,"Aquatic, Marine","Sargasso Sea,  North Atlantic",No,,2366980,2591,14,1,1,9,10,0,0,0,1,1,0,0,10,1.4,110,
815,638341215,Bacteria,Permanent Draft,Synechococcus sp. WH7805,Synechococcus sp. WH7805,J. Craig Venter Institute (JCVI),638341215,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7805,Yes,Environmental,Aquatic,Pelagic,Marine,Marine,North Atlantic Ocean,Unknown,,2620367,2937,13,1,1,9,11,0,0,0,1,1,0,0,11,1.181818182,26,
816,637000314,Bacteria,Finished,Synechococcus sp. WH8102,Synechococcus sp. WH8102,DOE Joint Genome Institute (JGI),637000314,Cyanobacteria,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Yes,Environmental,Aquatic,Pelagic,Marine,"Aquatic, Marine",Sargasso Sea from Oceanus cruise 92,No,,2434428,2588,9,1,1,4,6,0,0,0,1,1,0,0,6,1.5,10,
959,651053076,Bacteria,Finished,"Synechocystis sp. GT-S, PCC 6803","Synechocystis sp. GT-S, PCC 6803",University of Tokyo,651053076,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,"Aquatic, Fresh water",Freshwater lake in 1968,Unknown,,3571103,3220,57,1,1,35,42,0,1,1,2,2,0,0,45,1.266666667,10,22.22222222
1267,2568526149,Bacteria,Permanent Draft,Synechocystis sp. PCC 6714,Synechocystis sp. PCC 6714,University of Freiburg,2568526149,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6714,Yes,,,,,,unialgal culture in lake water,Unknown,,3676200,3481,54,1,1,32,38,0,1,0,2,2,0,0,41,1.317073171,27,65.85365854
960,637000315,Bacteria,Finished,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,Kazusa DNA Research Institute,637000315,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,"Aquatic, Fresh water",Freshwater lake in 1968,Unknown,,3947019,3628,62,1,1,38,45,0,1,1,2,2,0,0,48,1.291666667,25,52.08333333
961,2561511183,Bacteria,Finished,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803,Albert-Ludwigs-University Freiburg,2561511183,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,"Aquatic, Fresh water",Freshwater lake in 1968,Unknown,,3949306,3610,62,1,1,38,45,0,1,1,2,2,0,0,48,1.291666667,14,29.16666667
962,2514885032,Bacteria,Finished,Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803 (updateJune2012),Kazusa DNA Research Institute,2514885032,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,"Aquatic, Fresh water",Freshwater lake in 1968,Unknown,,3947019,3771,62,1,1,38,45,0,1,1,2,2,0,0,48,1.291666667,38,79.16666667
963,2513237196,Bacteria,Finished,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803 GT-I,University of Tokyo,2513237196,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,,Freshwater lake in 1968,Unknown,,3570103,3217,57,1,1,35,42,0,1,1,2,2,0,0,45,1.266666667,5,11.11111111
964,2513237195,Bacteria,Finished,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803 PCC-N,University of Tokyo,2513237195,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,,Freshwater lake in 1968,No,,3570114,3217,57,1,1,35,42,0,1,1,2,2,0,0,45,1.266666667,12,26.66666667
965,2524023216,Bacteria,Finished,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Synechocystis sp. PCC 6803 PCC-P,University of Tokyo,2524023216,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,Environmental,Aquatic,Ponds,Freshwater,,Freshwater lake in 1968,Unknown,,3570114,3218,57,1,1,35,42,0,1,1,2,2,0,0,45,1.266666667,12,26.66666667
1268,2687453425,Bacteria,Finished,Synechocystis sp. PCC 6803 Genome sequencing and assembly,Synechocystis sp. PCC 6803 PCC6803,South China University of Technology,2687453425,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Yes,,,,,,derived from ATCC 27184,,,3569196,3356,57,1,1,35,41,0,1,1,2,2,0,0,44,1.295454545,38,86.36363636
862,2517572074,Bacteria,Permanent Draft,GEBA-PCC,Synechocystis sp. PCC 7509,DOE Joint Genome Institute (JGI),2517572074,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 7509,Yes,Environmental,Terrestrial,Unclassified,Geologic,,rock scraping,Unknown,,4908825,4922,80,1,1,56,67,0,0,1,3,2,0,0,70,1.142857143,4,5.714285714
48,649633098,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Syntrophobotulus glycolicus FlGlyR, DSM 8271",DOE Joint Genome Institute (JGI),649633098,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Syntrophobotulus,Syntrophobotulus glycolicus,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Sludge, Wastewater","isolated from syntrophic coculture FlGlyM (DSM 6945), which was isolated from anoxic sewage sludge",Yes,,3406739,3439,43,1,1,18,30,0,0,5,1,2,0,4,35,1.228571429,99,
49,646564577,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Syntrophothermus lipocalidus DSM 12680,DOE Joint Genome Institute (JGI),646564577,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophothermus,Syntrophothermus lipocalidus,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Bioreactor, Sludge","anaerobic granular sludge, thermophilic UASB reactor",Yes,,2405559,2440,17,0,1,3,9,0,0,1,1,1,0,1,11,1.545454545,55,
100,2556921627,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Taylorella asinigenitalis ATCC 700933,DOE Joint Genome Institute (JGI),2556921627,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella asinigenitalis,Yes,Host-associated,Unclassified,Unclassified,Unclassified,Host,"Urethral fossa of a jack donkey, Equus asinus, California, 1997",Yes,,1617863,1553,6,0,2,5,8,0,0,0,1,1,0,0,8,0.75,52,
220,2523533531,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Tenacibaculum ovolyticum DSM 18103,DOE Joint Genome Institute (JGI),2523533531,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum ovolyticum,Yes,Host-associated,Fish,Unclassified,Unclassified,"Fish, Host, Marine",Halibut Eggs,Yes,,4124462,3769,47,1,2,10,29,0,1,7,0,3,0,1,31,1.516129032,36,
239,2524023151,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Tepidiphilus margaritifer DSM 15129,DOE Joint Genome Institute (JGI),2524023151,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Tepidiphilus,Tepidiphilus margaritifer,Yes,Engineered,Biotransformation,Unclassified,Unclassified,Bioreactor,thermophilic digester of wastewater-treatment sludge,Yes,,2220236,2191,26,1,1,15,21,0,0,1,0,1,0,0,20,1.3,72,
101,2556921622,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Terasakiella pusilla DSM 6293,DOE Joint Genome Institute (JGI),2556921622,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Terasakiella,Terasakiella pusilla,Yes,Host-associated,Unclassified,Unclassified,Unclassified,"Aquatic, Host, Marine",putrid marine shellfish,Yes,,4053560,4013,90,1,2,41,52,0,0,1,6,2,0,0,57,1.578947368,4,7.01754386
481,2510461070,Bacteria,Finished,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),"Terriglobus roseus KBS 63, DSM 18391",DOE Joint Genome Institute (JGI),2510461070,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"soil from a never-tilled, successional plant community at the Michigan State University Kellogg Biological Station Long-Term Ecological Research site",Yes,,5227858,4399,60,1,1,40,53,0,0,7,2,3,0,0,56,1.071428571,3,5.357142857
482,2523533530,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Terrimonas ferruginea DSM 30193,DOE Joint Genome Institute (JGI),2523533530,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas,Terrimonas ferruginea,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,,Yes,,4686152,4053,86,1,2,23,54,0,2,23,0,2,0,2,57,1.50877193,41,71.92982456
483,2526164522,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Terrisporobacter glycolicus DSM 1288,DOE Joint Genome Institute (JGI),2526164522,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter glycolicum,Yes,Environmental,Terrestrial,Unclassified,Soil,"Aquatic, Mud",Mud from a stagnant pond,Yes,,4022414,3969,48,1,1,33,44,0,0,2,2,2,2,9,53,0.905660377,30,56.60377358
215,2524614634,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Tetragenococcus muriaticus DSM 15685,DOE Joint Genome Institute (JGI),2524614634,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus muriaticus,Yes,Engineered,Food production,Unclassified,Unclassified,Fermented food product,japanese local traditional fermented seafood,Yes,,2083500,2184,10,0,2,6,10,0,0,2,0,1,0,0,9,1.111111111,7,77.77777778
817,2523231049,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thalassobaculum salexigens DSM 19539,DOE Joint Genome Institute (JGI),2523231049,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassobaculum,Thalassobaculum salexigens,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",sea water,Yes,,5084548,4776,60,1,2,51,56,2,0,0,2,2,0,0,57,1.052631579,13,22.80701754
818,2526164517,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thalassospira lucentensis DSM 14000,DOE Joint Genome Institute (JGI),2526164517,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,Thalassospira lucentensis,Yes,Environmental,Aquatic,Unclassified,Marine,"Aquatic, Marine, Sea water",sea water from a depth of 100 m  outside of Spain,Yes,,4748691,4438,55,1,2,27,39,0,1,1,1,2,0,0,40,1.375,35,87.5
50,2556921623,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thauera linaloolentis DSM 12138,DOE Joint Genome Institute (JGI),2556921623,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera linaloolentis,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Activated sludge, Sludge, Wastewater",activated sludge,Yes,,4219934,3826,64,1,2,34,49,0,0,6,0,2,0,0,48,1.333333333,66,
51,2546826730,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Thermacetogenium phaeum DSM 12270,DOE Joint Genome Institute (JGI),2546826730,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,Thermacetogenium phaeum,Yes,Engineered,Wastewater,Unclassified,Unclassified,"Aquatic, Paper mill, Wastewater, Wastewater treatment plant",Thermophilic (60c) anaerobic methanogenic reactor from kraft-pulp production plant in Japan,Yes,,2923131,2944,21,0,1,6,12,0,1,1,1,1,1,3,16,1.3125,7,43.75
819,649633101,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Thermaerobacter marianensis 7p75a, DSM 12885",DOE Joint Genome Institute (JGI),649633101,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,Thermaerobacter marianensis,Yes,Environmental,Aquatic,Oceanic,Marine,"Deep sea, Marine, Mud",mud from the Challenger Deep in the Mariana Trench at a depth of 10897m,Yes,,2844696,2435,21,0,1,9,16,0,0,3,2,1,1,0,17,1.235294118,27,
535,2509601029,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Thermaerobacter subterraneus C21, DSM 13965",DOE Joint Genome Institute (JGI),2509601029,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,Thermaerobacter subterraneus,Yes,Environmental,Aquatic,Unclassified,Sediment,"Aquatic, Sediment","open drain run-off channel of a bore in the Great Artesian Basin (GAB) of Australia. &#65279;The GAB is a deep, multi-layered, subsurface, geothermal aquifer that underlies approximately 20% of Australia's landmass, mainly the arid and semi-arid regions.",Yes,,2888741,2423,17,0,1,7,13,0,0,3,2,1,1,0,14,1.214285714,7,50
252,2503538017,Bacteria,Permanent Draft,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Thermanaeromonas toyohensis ToBE, DSM 14490",DOE Joint Genome Institute (JGI),2503538017,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermanaeromonas,Thermanaeromonas toyohensis,Yes,Environmental,Aquatic,Unclassified,Unclassified,Aquatic,"Geothermal aquifer at a depth of 550m; Japan, Hokkaido, Toyoha Mines",Yes,,3334024,3396,34,0,1,9,25,0,0,4,3,2,1,0,28,1.214285714,9,32.14285714
240,646311961,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Thermanaerovibrio acidaminovorans Su883, DSM 6589",DOE Joint Genome Institute (JGI),646311961,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio acidaminovorans,Yes,Engineered,Biotransformation,Unclassified,Unclassified,Bioreactor,"Upflow anaerobic sludge bed reactor of a sugar refinery, Breda, the Netherlands",Yes,,1848474,1828,24,0,1,7,15,0,0,2,1,1,0,0,16,1.5,26,
308,2508501068,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Thermanaerovibrio velox DSM 12556,DOE Joint Genome Institute (JGI),2508501068,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio velox,Yes,Environmental,Aquatic,Unclassified,Thermal springs,"Aquatic, Hot spring","Cyanobacterial mat of hot spring; Uzon caldera, Kamchatka, Russia.",Yes,,1880838,1810,23,0,1,7,15,0,0,2,1,1,0,0,16,1.4375,9,56.25
484,2516493021,Bacteria,Permanent Draft,Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA),Thermicanus aegyptius DSM 12793,DOE Joint Genome Institute (JGI),2516493021,Firmicutes,Bacilli,Bacillales,Bacillales Family X. Incertae Sedis,Thermicanus,Thermicanus aegyptius,Yes,Environmental,Terrestrial,Unclassified,Soil,Soil,"surface soil from a grassy garden, Hurghada, Egypt",Yes,,3657623,3668,34,0,1,20,32,0,0,6,1,1,0,1,34,1,37,
309,2523533554,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thermithiobacillus tepidarius DSM 3134,DOE Joint Genome Institute (JGI),2523533554,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Thermithiobacillaceae,Thermithiobacillus,Thermithiobacillus tepidarius,Yes,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic,thermal sulfur spring,Yes,,2958498,2968,42,0,1,38,44,0,0,1,1,1,0,0,45,0.933333333,22,48.88888889
1114,2546825535,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Thermoanaerobacter thermocopriae ATCC 51646,DOE Joint Genome Institute (JGI),2546825535,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter thermocopriae,Yes,Engineered,Solid waste,Unclassified,Composting,,"composted cattle manure, Japan",Yes,,2457657,2585,20,0,1,9,15,0,0,1,2,1,0,1,18,1.111111111,11,61.11111111
